timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1675427195598,238,/canonical.html-2 441,200,OK,Thread Group 1-1,text,true,,298,324,1,1,http://detectportal.firefox.com/canonical.html,238,0,150
1675427195844,31,/success.txt-2 444,200,OK,Thread Group 1-1,text,true,,216,326,1,1,http://detectportal.firefox.com/success.txt?ipv6,31,0,0
1675427195876,27,/success.txt-2 443,200,OK,Thread Group 1-1,text,true,,216,326,1,1,http://detectportal.firefox.com/success.txt?ipv4,27,0,0
1675427195905,737,/chains/remote-settings.content-signature.mozilla.org-2023-02-28-18-04-20.chain-2 445,200,OK,Thread Group 1-1,text,true,,5828,436,1,1,https://content-signature-2.cdn.mozilla.net/chains/remote-settings.content-signature.mozilla.org-2023-02-28-18-04-20.chain,735,0,708
1675427196643,374,/v1/tiles-2 442,200,OK,Thread Group 1-1,text,true,,375,356,1,1,https://contile.services.mozilla.com/v1/tiles,374,0,190
1675427197019,205,/v1/buckets/main/collections/ms-language-packs/records/cfr-v1-ru-2 446,200,OK,Thread Group 1-1,text,true,,925,465,1,1,https://firefox.settings.services.mozilla.com/v1/buckets/main/collections/ms-language-packs/records/cfr-v1-ru,204,0,177
1675427197225,233,"/update/6/Firefox/109.0/20230112150232/WINNT_x86_64-msvc-x64/ru/release/Windows_NT%2010.0.0.0.19044.2486%20(x64)/ISET:SSE4_2,MEM:6006/default/default/update.xml-2 450",200,OK,Thread Group 1-1,text,true,,942,549,1,1,"https://aus5.mozilla.org/update/6/Firefox/109.0/20230112150232/WINNT_x86_64-msvc-x64/ru/release/Windows_NT%2010.0.0.0.19044.2486%20(x64)/ISET:SSE4_2,MEM:6006/default/default/update.xml?force=1",231,0,203
1675427197459,467,/submit/messaging-system/undesired-events/1/ac779e61-117e-42d5-9c7b-6adbe5c1d88a-2 447,200,OK,Thread Group 1-1,text,true,,620,1094,1,1,https://incoming.telemetry.mozilla.org/submit/messaging-system/undesired-events/1/ac779e61-117e-42d5-9c7b-6adbe5c1d88a,467,0,215
1675427197926,259,/submit/firefox-desktop/newtab/1/f226de77-aad0-4c8f-90bb-4e52aab33f0b-2 449,200,OK,Thread Group 1-1,text,true,,620,1966,1,1,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/f226de77-aad0-4c8f-90bb-4e52aab33f0b,259,0,0
1675427198186,207,/submit/firefox-desktop/newtab/1/966d2b99-ab53-4011-8c0c-345d905bc094-2 451,200,OK,Thread Group 1-1,text,true,,620,1345,1,1,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/966d2b99-ab53-4011-8c0c-345d905bc094,207,0,0
1675427198394,212,/submit/firefox-desktop/baseline/1/519efb4b-0c22-4761-8b72-c5e022982b6f-2 452,200,OK,Thread Group 1-1,text,true,,620,1747,1,1,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/baseline/1/519efb4b-0c22-4761-8b72-c5e022982b6f,212,0,0
1675427198607,249,/submit/activity-stream/events/1/439efb55-ccbd-4ca2-a1af-842366b72292-2 453,200,OK,Thread Group 1-1,text,true,,620,1228,1,1,https://incoming.telemetry.mozilla.org/submit/activity-stream/events/1/439efb55-ccbd-4ca2-a1af-842366b72292,249,0,0
1675427198857,501,/-2 454,200,OK,Thread Group 1-1,text,true,,80132,460,1,1,https://mail.ru/,488,0,130
1675427199363,169,/resplash/127235/c/theme-43533f8bdf8c.css-2 459,200,OK,Thread Group 1-1,text,true,,688,421,1,1,https://home.imgsmail.ru/resplash/127235/c/theme-43533f8bdf8c.css,169,0,155
1675427199533,22,/resplash/127235/c/desktop-3f9ca034.css-2 461,200,OK,Thread Group 1-1,text,true,,8432,419,1,1,https://home.imgsmail.ru/resplash/127235/c/desktop-3f9ca034.css,22,0,0
1675427199556,27,/resplash/127235/j/d-6397686a.js-2 460,200,OK,Thread Group 1-1,text,true,,13575,420,1,1,https://home.imgsmail.ru/resplash/127235/j/d-6397686a.js,27,0,0
1675427199584,24,/resplash/127235/c/app-fe6441b1.css-2 462,200,OK,Thread Group 1-1,text,true,,22577,415,1,1,https://home.imgsmail.ru/resplash/127235/c/app-fe6441b1.css,23,0,0
1675427199610,121,/img/9F/0CA3D6.png-2 457,200,OK,Thread Group 1-1,bin,true,,139695,400,1,1,https://r.mradx.net/img/9F/0CA3D6.png,92,0,68
1675427199732,148,/hb/e.mail.ru/@mail-core/logger-preset/base.js-2 466,200,OK,Thread Group 1-1,text,true,,3516,469,1,1,https://img.imgsmail.ru/hb/e.mail.ru/@mail-core/logger-preset/base.js?v12.1.0&pv=12.1.0&f=1675118160000-0,148,0,137
1675427199882,154,/pkgs/whiteline/2.95.2/inline.modern.js-2 464,200,OK,Thread Group 1-1,text,true,,26477,405,1,1,https://limg.imgsmail.ru/pkgs/whiteline/2.95.2/inline.modern.js,153,0,128
1675427200037,13,/pkgs/whiteline/2.95.2/external.css-2 463,200,OK,Thread Group 1-1,text,true,,12128,415,1,1,https://limg.imgsmail.ru/pkgs/whiteline/2.95.2/external.css,13,0,0
1675427200051,100,/resplash/127235/j/app-a377ba2f.js-2 465,200,OK,Thread Group 1-1,text,true,,259294,422,1,1,https://home.imgsmail.ru/resplash/127235/j/app-a377ba2f.js,46,0,0
1675427200152,267,/submit/firefox-desktop/newtab/1/e6e7769e-0fd6-4dda-a81d-529a08c56c36-2 456,200,OK,Thread Group 1-1,text,true,,620,2025,1,1,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/e6e7769e-0fd6-4dda-a81d-529a08c56c36,267,0,0
1675427200421,218,/pulse-lenta-1.220.0.js-2 458,200,OK,Thread Group 1-1,text,true,,236557,577,1,1,https://static.pulse.mail.ru/pulse-lenta-1.220.0.js?_=1,168,0,139
1675427200640,252,/submit/activity-stream/sessions/1/ddc09086-d600-4f07-838c-2877f87eaa47-2 455,200,OK,Thread Group 1-1,text,true,,620,1439,1,1,https://incoming.telemetry.mozilla.org/submit/activity-stream/sessions/1/ddc09086-d600-4f07-838c-2877f87eaa47,252,0,0
1675427200893,154,/i3465.gif-2 469,200,OK,Thread Group 1-1,bin,true,,600,549,1,1,https://ad.mail.ru/i3465.gif,154,0,141
1675427201048,188,/js/code.js-2 468,200,OK,Thread Group 1-1,text,true,,15275,575,1,1,https://top-fwz1.mail.ru/js/code.js,187,0,169
1675427201237,20,/resplash/127235/i/icons/05c514da29ee.svg-2 474,200,OK,Thread Group 1-1,text,true,,1082,428,1,1,https://home.imgsmail.ru/resplash/127235/i/icons/05c514da29ee.svg,20,0,0
1675427201257,10,/i1629.gif-2 470,200,OK,Thread Group 1-1,bin,true,,495,624,1,1,https://ad.mail.ru/i1629.gif,10,0,0
1675427201268,11,/resplash/127235/i/icons/475d14da29ee.svg-2 471,200,OK,Thread Group 1-1,text,true,,960,428,1,1,https://home.imgsmail.ru/resplash/127235/i/icons/475d14da29ee.svg,11,0,0
1675427201279,15,/resplash/127235/i/icons/ea0014da29ee.svg-2 473,200,OK,Thread Group 1-1,text,true,,1204,428,1,1,https://home.imgsmail.ru/resplash/127235/i/icons/ea0014da29ee.svg,15,0,0
1675427201294,38,/resplash/127235/i/icons/9afe14da29ee.svg-2 472,200,OK,Thread Group 1-1,text,true,,812,428,1,1,https://home.imgsmail.ru/resplash/127235/i/icons/9afe14da29ee.svg,38,0,0
1675427201333,3,/hb/e.mail.ru/static/fonts/MailSans/WOFF2/MailSansVariative.woff2-2 467,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: img.imgsmail.ru:443 failed to respond,Thread Group 1-1,text,false,,2062,0,1,1,https://img.imgsmail.ru/hb/e.mail.ru/static/fonts/MailSans/WOFF2/MailSansVariative.woff2,0,0,0
1675427201338,20,/resplash/127235/i/icons/3da914da29ee.svg-2 475,200,OK,Thread Group 1-1,text,true,,839,428,1,1,https://home.imgsmail.ru/resplash/127235/i/icons/3da914da29ee.svg,20,0,0
1675427201359,23,/img/D1/F59779.svg-2 480,200,OK,Thread Group 1-1,text,true,,822,400,1,1,https://r.mradx.net/img/D1/F59779.svg,23,0,0
1675427201383,32,/resplash/127235/i/icons/13f814da29ee.svg-2 476,200,OK,Thread Group 1-1,text,true,,832,428,1,1,https://home.imgsmail.ru/resplash/127235/i/icons/13f814da29ee.svg,32,0,0
1675427201416,67,/hb/e.mail.ru/auth.gate/2.9.5/authGate.js-2 481,200,OK,Thread Group 1-1,text,true,,14864,425,1,1,https://img.imgsmail.ru/hb/e.mail.ru/auth.gate/2.9.5/authGate.js?onload=__AG_onload,66,0,43
1675427201484,73,/d69888407.gif-2 482,200,OK,Thread Group 1-1,bin,true,,469,676,1,1,https://rs.mail.ru/d69888407.gif?sz=15&rnd=148503349&ts=1675118405&sz=15,73,0,61
1675427201559,71,/d17184638.gif-2 477,200,OK,Thread Group 1-1,bin,true,,469,641,1,1,https://reklama.mail.ru/d17184638.gif,70,0,61
1675427201631,12,/d795553.gif-2 485,200,OK,Thread Group 1-1,bin,true,,469,662,1,1,https://rs.mail.ru/d795553.gif?rnd=636144125&ts=1675118405,12,0,0
1675427201644,23,/res/11e165d4a490352570053040f000256035557000102040502555606040003035705020801570056530104000101025704550500050203000750500600000506520157080f530053030502050004585757555405030203050255570603000b065604550d0b530356070500050804515253555700050203000750500600000506520157080f530053030502050004585757555405030203050255570603000b065604550d0b530356070500050804515253555700050203000750500600000506520157080f530053030502050004585757555405030203050255570603000b065604550d0b530356070500050804515253555700050d6e08035356030f06050e540356010e-2 483,404,Not Found,Thread Group 1-1,text,false,,6989,1122,1,1,https://mail.ru/res/11e165d4a490352570053040f000256035557000102040502555606040003035705020801570056530104000101025704550500050203000750500600000506520157080f530053030502050004585757555405030203050255570603000b065604550d0b530356070500050804515253555700050203000750500600000506520157080f530053030502050004585757555405030203050255570603000b065604550d0b530356070500050804515253555700050203000750500600000506520157080f530053030502050004585757555405030203050255570603000b065604550d0b530356070500050804515253555700050d6e08035356030f06050e540356010e,23,0,0
1675427201669,11,/bulkstat/-2 486,200,OK,Thread Group 1-1,bin,true,,253,684,1,1,"https://rs.mail.ru/bulkstat/?type=imp&banner_ids=33772932,703055&_=1675306097032",11,0,0
